x,M_x,abs_M_over_sqrt_x
10,-1,0.31622776601683794
10,-1,0.31622776601683794
10,-1,0.31622776601683794
10,-1,0.31622776601683794
11,-2,0.6030226891555273
11,-2,0.6030226891555273
11,-2,0.6030226891555273
12,-2,0.5773502691896258
12,-2,0.5773502691896258
12,-2,0.5773502691896258
13,-3,0.8320502943378437
13,-3,0.8320502943378437
13,-3,0.8320502943378437
14,-2,0.5345224838248488
14,-2,0.5345224838248488
15,-1,0.2581988897471611
15,-1,0.2581988897471611
16,-1,0.25
16,-1,0.25
16,-1,0.25
17,-2,0.48507125007266594
17,-2,0.48507125007266594
18,-2,0.47140452079103173
18,-2,0.47140452079103173
19,-3,0.6882472016116852
19,-3,0.6882472016116852
20,-3,0.6708203932499369
21,-2,0.4364357804719848
21,-2,0.4364357804719848
22,-1,0.21320071635561041
22,-1,0.21320071635561041
23,-2,0.41702882811414954
24,-2,0.4082482904638631
24,-2,0.4082482904638631
25,-2,0.4
26,-1,0.19611613513818404
27,-1,0.19245008972987526
27,-1,0.19245008972987526
28,-1,0.1889822365046136
29,-2,0.3713906763541037
30,-3,0.5477225575051661
31,-4,0.7184212081070996
31,-4,0.7184212081070996
32,-4,0.7071067811865475
33,-3,0.5222329678670935
34,-2,0.34299717028501764
35,-1,0.1690308509457033
36,-1,0.16666666666666666
37,-2,0.3287979746107146
38,-1,0.16222142113076254
39,0,0.0
41,-1,0.15617376188860607
42,-2,0.3086066999241838
43,-3,0.457495710997814
44,-3,0.45226701686664544
45,-3,0.4472135954999579
47,-3,0.4375949744936837
48,-3,0.43301270189221935
49,-3,0.42857142857142855
51,-2,0.28005601680560194
52,-2,0.2773500981126146
54,-3,0.408248290463863
55,-2,0.26967994498529685
57,-1,0.13245323570650439
58,0,0.0
60,-1,0.12909944487358055
62,-1,0.1270001270001905
63,-1,0.1259881576697424
65,0,0.0
67,-2,0.24433888871261045
69,-1,0.1203858530857692
71,-3,0.35603449745815596
73,-4,0.4681645887845223
75,-3,0.3464101615137754
77,-2,0.2279211529192759
79,-4,0.4500351603704096
82,-3,0.3312945782245396
84,-4,0.4364357804719848
86,-2,0.21566554640687682
89,-2,0.211999576001272
91,-1,0.10482848367219183
94,1,0.10314212462587934
96,2,0.20412414523193154
99,1,0.10050378152592121
102,-1,0.09901475429766744
105,-3,0.29277002188455997
108,-3,0.28867513459481287
111,-4,0.3796631983009996
114,-6,0.5619514869490164
117,-5,0.4622501635210242
120,-3,0.27386127875258304
124,-1,0.08980265101338746
127,-2,0.17747130188322277
131,-3,0.26211121699831136
134,-1,0.08638684255813601
138,-3,0.2553769592276246
142,-2,0.16783627165933782
146,1,0.0827605888602368
150,0,0.0
155,-1,0.08032193289024989
159,0,0.0
163,0,0.0
168,-1,0.07715167498104596
173,-3,0.22808577638091165
178,-2,0.14990633779917228
183,-4,0.29568850838182914
188,-3,0.21879748724684184
193,-6,0.4318894504492167
198,-7,0.49746833816309105
204,-5,0.3500700210070024
210,-1,0.06900655593423542
216,1,0.06804138174397717
222,4,0.2684624220856097
228,3,0.19867985355975656
234,-1,0.06537204504606134
241,-2,0.12883132528016616
248,-2,0.1270001270001905
255,-1,0.06262242910851495
262,-1,0.06178020632152154
269,-2,0.12194215216993846
277,-4,0.24033670725044387
285,-7,0.4146442144313646
293,-8,0.4673649902695888
301,-4,0.230556167081694
309,-1,0.05688801239885743
318,-5,0.28038607704602214
327,-1,0.0553001263609331
336,2,0.1091089451179962
346,3,0.1612809991711411
355,0,0.0
365,1,0.052342392259021375
375,-3,0.15491933384829668
386,-2,0.10179731971185753
397,1,0.05018856132284956
408,0,0.0
419,0,0.0
431,-3,0.1445049152577264
443,-9,0.42760290433102194
